comparison,ema_alpha,metric,raw_point,smoothed_point,delta_point,ci_low,ci_high,expected_direction,direction_probability,bootstrap_repetitions,resampling_unit,seed
ema_0.25_minus_raw,0.25,accuracy,0.7183462377627401,0.7194985080344664,0.0011522702717262634,0.0006963476748610892,0.0016209931864856974,noninferior,1.0,2000,video,48623
ema_0.25_minus_raw,0.25,global_ece,0.1189558354299729,0.11466439767164469,-0.004291437758328215,-0.004956097950305354,-0.003133961937542488,negative,1.0,2000,video,48623
ema_0.25_minus_raw,0.25,mean_tfi,2.5853558654978945,2.046631834017463,-0.5387240314804314,-0.6239056701071981,-0.4654930258464669,negative,1.0,2000,video,48623
ema_0.25_minus_raw,0.25,mean_predicted_switches,90.07582938388626,73.33649289099526,-16.739336492891,-19.630924170616126,-13.96161137440759,negative,1.0,2000,video,48623
ema_0.25_minus_raw,0.25,mean_transition_delay,6.120532703978422,6.323331085637222,0.20279838165880015,0.16541635172905317,0.2389180545044771,positive,1.0,2000,video,48623
ema_0.25_minus_raw,0.25,ptsm,0.2359679324162113,0.23714124305571702,0.0011733106395057091,0.0007935461046845331,0.001583447210059939,positive,1.0,2000,video,48623
ema_0.25_minus_raw,0.25,missed_transition_rate,0.27899527983816585,0.28910991233985167,0.010114632501685816,0.007056037592512085,0.013272588877662158,positive,1.0,2000,video,48623
ema_0.50_minus_raw,0.5,accuracy,0.7183462377627401,0.7201090616329915,0.0017628238702513954,0.0008041646812972675,0.0027481617761419383,noninferior,1.0,2000,video,48623
ema_0.50_minus_raw,0.5,global_ece,0.1189558354299729,0.11032780578523849,-0.008628029644734414,-0.010032898954076259,-0.007302022638408662,negative,1.0,2000,video,48623
ema_0.50_minus_raw,0.5,mean_tfi,2.5853558654978945,1.5205592890754425,-1.064796576422452,-1.203663447591807,-0.930538004198161,negative,1.0,2000,video,48623
ema_0.50_minus_raw,0.5,mean_predicted_switches,90.07582938388626,56.54976303317535,-33.526066350710906,-39.261137440758304,-28.246327014218004,negative,1.0,2000,video,48623
ema_0.50_minus_raw,0.5,mean_transition_delay,6.120532703978422,6.6319959541469995,0.5114632501685774,0.45436055369942663,0.5671211819433148,positive,1.0,2000,video,48623
ema_0.50_minus_raw,0.5,ptsm,0.2359679324162113,0.2414472732088169,0.0054793407926055915,0.004487774370934708,0.006535655120618848,positive,1.0,2000,video,48623
ema_0.50_minus_raw,0.5,missed_transition_rate,0.27899527983816585,0.3059676331759946,0.02697235333782877,0.021657884801029998,0.032330516186635634,positive,1.0,2000,video,48623
