ema_alpha,transition_type,n_events,n_videos,mean_ptsm_delta,ptsm_ci_low,ptsm_ci_high,mean_delay_delta,delay_ci_low,delay_ci_high
0.5,background_to_action,2921,210,0.00205115242684438,0.0010215882147387584,0.0031291660141985673,0.3012666894899007,0.23208798590260343,0.38238010413316903
0.5,action_to_background,2938,211,0.009256435705842348,0.0075863859823128,0.010874777313917075,0.7086453369639211,0.6020782047186387,0.8092876820149547
0.5,action_to_action,73,14,0.0019331793573313467,-0.004574291223954934,0.01079421445438408,0.9863013698630136,0.10203216879972328,2.20771563342318
0.25,background_to_action,2921,210,0.0003137251763760861,-3.0018994403226886e-05,0.0006754753684883773,0.11502909962341663,0.0756198498603352,0.15945190054388278
0.25,action_to_background,2938,211,0.0020726955735845083,0.001382880984298989,0.0027402311835952593,0.27944179714091216,0.21487361805779737,0.34018043177251234
0.25,action_to_action,73,14,-0.0008289796019293673,-0.0024856986030884947,0.00313225086786862,0.6301369863013698,0.0625,1.6949842333464717
