ece_bins,ema_alpha,raw_ece,smoothed_ece,ece_delta,ci_low,ci_high
10,0.5,0.11883444727198628,0.11058854824408029,-0.008245899027905984,-0.010047550763690757,-0.007163266764703219
10,0.25,0.11883444727198628,0.11506449786428774,-0.0037699494076985363,-0.004753628952098967,-0.003148488923196505
15,0.5,0.1189558354299729,0.11032780578523849,-0.008628029644734414,-0.010033128149899482,-0.007362626083280819
15,0.25,0.1189558354299729,0.11466439767164469,-0.004291437758328215,-0.0049008905586720546,-0.0031213484601011247
20,0.5,0.11884714303420793,0.11059056638892274,-0.008256576645285188,-0.010032338074300599,-0.007207919430150044
20,0.25,0.11884714303420793,0.11506634423677184,-0.0037807987974360913,-0.004806748759805528,-0.0031452717195220034
30,0.5,0.11895583542997293,0.11058854824408057,-0.008367287185892358,-0.010041873157469693,-0.007246813019234894
30,0.25,0.11895583542997293,0.11506449786428785,-0.003891337565685077,-0.004820368669588764,-0.00316689121147687
