ema_alpha,horizon,n_events,n_videos,mean_event_ptsm_delta,ptsm_ci_low,ptsm_ci_high,mean_delay_delta,delay_ci_low,delay_ci_high,mean_miss_delta,miss_ci_low,miss_ci_high
0.5,8,5932,211,0.011431432915071633,0.010032808734902915,0.01275421681410885,0.2818610923803102,0.24742549192739743,0.3160625022284074,0.03674983142279164,0.031295916930829094,0.04205077277713663
0.5,16,5932,211,0.00561833217054323,0.004602732340491303,0.006612280930065187,0.5114632501685772,0.4521834705831921,0.5659413130119303,0.026972353337828724,0.021349424095188037,0.03214257730021803
0.5,32,5932,211,0.002259030526113268,0.001310583120054557,0.0031623354931606964,0.9082939986513824,0.7859319675003726,1.0188014178428684,0.023432231962238707,0.018343965106920136,0.02820721184215875
0.25,8,5932,211,0.003163417913016068,0.0026639860242662315,0.0036396088511463105,0.10974376264329062,0.0912894332843427,0.12813012865079168,0.013486176668914362,0.010189807544074427,0.016599021175524642
0.25,16,5932,211,0.0011708454693939632,0.000753860875809125,0.0015709093653094133,0.20279838165879974,0.16553909332164962,0.23895765238059277,0.010114632501685773,0.007053011392097433,0.013266129957703442
0.25,32,5932,211,5.896347076681874e-05,-0.0003365460407065355,0.0004334714116887525,0.3612609575185435,0.2870748987401234,0.43651004503820656,0.009440323668240054,0.006371424873255715,0.01249340086813607
