subset,ema_alpha,n_events,n_videos,mean_ptsm_delta,ci_low,ci_high,event_positive_fraction,bootstrap_repetitions,resampling_unit
equal_detected_delay,0.5,2819,202,-0.00047669416828920375,-0.0014392256194247495,0.0005116645739479161,0.13905640297978006,2000,video
equal_missed_sensitivity,0.5,1648,184,0.00913928217688187,0.00677524368214433,0.011393182288746048,0.6674757281553398,2000,video
equal_detected_delay,0.25,3676,208,9.599825397194186e-05,-0.000414547383212147,0.0005959913144348881,0.2366702937976061,2000,video
equal_missed_sensitivity,0.25,1650,184,0.002970101195035462,0.0019266873730978233,0.003933726918930379,0.6381818181818182,2000,video
