comparison,metric,native_point,smoothed_point,delta_point,ci_low,ci_high,bootstrap_repetitions,bootstrap_seed,resampling_unit
ema_alpha_0.50_minus_native,accuracy,0.8397342024421665,0.8362162935884873,-0.003517908853679197,-0.005197342128048741,-0.001930707137548449,2000,48629,official THUMOS14 test video
ema_alpha_0.50_minus_native,global_ece,0.05750167849030504,0.04768752639275672,-0.009814152097548323,-0.011606741539604715,-0.00793234566625655,2000,48629,official THUMOS14 test video
ema_alpha_0.50_minus_native,mean_tfi,0.9060222061852924,0.5368703073394836,-0.3691518988458088,-0.42126376961332246,-0.32030643514438883,2000,48629,official THUMOS14 test video
ema_alpha_0.50_minus_native,mean_predicted_switches,50.0,34.070422535211264,-15.929577464788736,-18.6012910798122,-13.544248826291078,2000,48629,official THUMOS14 test video
ema_alpha_0.50_minus_native,mean_transition_delay,2.9889586902722254,3.8189605939463163,0.8300019036740909,0.7399436456349056,0.9172571473678091,2000,48629,official THUMOS14 test video
ema_alpha_0.50_minus_native,missed_transition_rate,0.09841995050447364,0.13192461450599657,0.03350466400152294,0.02673509761524545,0.04039177343639949,2000,48629,official THUMOS14 test video
boxcar_w3_minus_native,accuracy,0.8397342024421665,0.8324010966626662,-0.007333105779500304,-0.009997210757106226,-0.004963465995575719,2000,48629,official THUMOS14 test video
boxcar_w3_minus_native,global_ece,0.05750167849030504,0.05571882458206309,-0.0017828539082419478,-0.0035768024123137327,-0.0002702037533242541,2000,48629,official THUMOS14 test video
boxcar_w3_minus_native,mean_tfi,0.9060222061852924,0.5292602353466038,-0.37676197083868856,-0.4313709097610477,-0.3257603741883775,2000,48629,official THUMOS14 test video
boxcar_w3_minus_native,mean_predicted_switches,50.0,33.225352112676056,-16.774647887323944,-19.630046948356807,-14.192370892018777,2000,48629,official THUMOS14 test video
boxcar_w3_minus_native,mean_transition_delay,2.9889586902722254,3.9727774604987625,0.9838187702265371,0.857046951113986,1.110109881470468,2000,48629,official THUMOS14 test video
boxcar_w3_minus_native,missed_transition_rate,0.09841995050447364,0.13154387968779746,0.033123929183323825,0.024815478020507684,0.041400218926211346,2000,48629,official THUMOS14 test video
