condition,accuracy,global_ece,mean_tfi,mean_predicted_switches,mean_transition_delay,missed_transition_rate,n_valid_frames,n_sequences,n_transitions
native,0.8397342024421665,0.05750167849030504,0.9060222061852924,50.0,2.9889586902722254,0.09841995050447364,181642.0,213.0,5253.0
ema_alpha_0.50,0.8362162935884873,0.04768752639275672,0.5368703073394836,34.070422535211264,3.8189605939463163,0.13192461450599657,181642.0,213.0,5253.0
boxcar_w3,0.8324010966626662,0.05571882458206309,0.5292602353466038,33.225352112676056,3.9727774604987625,0.13154387968779746,181642.0,213.0,5253.0
