comparison,ema_alpha,metric,raw_point,smoothed_point,delta_point,ci_low,ci_high,expected_direction,direction_probability,bootstrap_repetitions,resampling_unit,seed
ema_0.25_minus_raw,0.25,accuracy,0.656686310131299,0.6620226682988002,0.005336358167501221,0.004647829263938169,0.0060513733232883974,noninferior,1.0,2000,video,48625
ema_0.25_minus_raw,0.25,global_ece,0.18955956040472827,0.16757914320109393,-0.021980417203634334,-0.023344065729495787,-0.020566644936589624,negative,1.0,2000,video,48625
ema_0.25_minus_raw,0.25,mean_tfi,7.666832993417922,6.095608488792433,-1.571224504625489,-1.8238971017212944,-1.345056411212983,negative,1.0,2000,video,48625
ema_0.25_minus_raw,0.25,mean_predicted_switches,231.37440758293837,188.08056872037915,-43.29383886255923,-50.06682464454977,-37.31646919431281,negative,1.0,2000,video,48625
ema_0.25_minus_raw,0.25,mean_transition_delay,4.772757923128793,5.005394470667566,0.23263654753877283,0.1843114065281895,0.28378154228646896,positive,1.0,2000,video,48625
ema_0.25_minus_raw,0.25,ptsm,0.21008941626844324,0.20464923418496803,-0.005440182083475215,-0.006473778381825827,-0.004482757552828868,positive,0.0,2000,video,48625
ema_0.25_minus_raw,0.25,missed_transition_rate,0.18762643290627107,0.20111260957518542,0.013486176668914357,0.010027543982385584,0.017001886171189907,positive,1.0,2000,video,48625
ema_0.50_minus_raw,0.5,accuracy,0.656686310131299,0.6713725185036649,0.014686208372365894,0.013002332728885591,0.016359169426338045,noninferior,1.0,2000,video,48625
ema_0.50_minus_raw,0.5,global_ece,0.18955956040472827,0.13802543658514255,-0.05153412381958572,-0.05465215104988736,-0.04805463956127583,negative,1.0,2000,video,48625
ema_0.50_minus_raw,0.5,mean_tfi,7.666832993417922,4.399181945828085,-3.267651047589837,-3.7480538519546367,-2.839725105035986,negative,1.0,2000,video,48625
ema_0.50_minus_raw,0.5,mean_predicted_switches,231.37440758293837,137.83412322274881,-93.54028436018956,-107.9559241706161,-80.61113744075831,negative,1.0,2000,video,48625
ema_0.50_minus_raw,0.5,mean_transition_delay,4.772757923128793,5.421443020903574,0.6486850977747807,0.5551151270275679,0.7451419159593269,positive,1.0,2000,video,48625
ema_0.50_minus_raw,0.5,ptsm,0.21008941626844324,0.20076921069050735,-0.009320205577935892,-0.01159881720269457,-0.007189680901172066,positive,0.0,2000,video,48625
ema_0.50_minus_raw,0.5,missed_transition_rate,0.18762643290627107,0.226062036412677,0.03843560350640593,0.03114467825586201,0.0456404092860284,positive,1.0,2000,video,48625
