condition,accuracy,global_ece,mean_tfi,mean_predicted_switches,mean_transition_delay,missed_transition_rate,n_frames,n_sequences,n_transitions
native,0.7183462377627401,0.1189558354299729,2.5853558654978945,90.07582938388626,6.120532703978422,0.27899527983816585,334123.0,211.0,5932.0
boxcar_w3,0.7185976421856621,0.11404342149836563,1.5253730950117808,56.573459715639814,6.663351314902226,0.30394470667565743,334123.0,211.0,5932.0
