condition,accuracy,global_ece,mean_tfi,mean_predicted_switches,mean_transition_delay,missed_transition_rate,n_frames,n_sequences,n_transitions
native,0.42455422967157097,0.257099774313624,3.342333653410505,611.9699248120301,7.620034225644787,0.4132746607994133,284171.0,133.0,16362.0
boxcar_w3,0.42631021462429314,0.2089150678970002,1.752458537879537,328.42105263157896,8.685001833516685,0.47481970419264147,284171.0,133.0,16362.0
