comparison,metric,native_point,smoothed_point,delta_point,ci_low,ci_high,bootstrap_repetitions,bootstrap_seed,resampling_unit
ema_alpha_0.50_minus_native,accuracy,0.3815302485482487,0.3826832260204377,0.0011529774721890096,0.00027911104515411235,0.002116778409848151,2000,48629,official EK100 validation video
ema_alpha_0.50_minus_native,global_ece,0.40427600957653026,0.3539184154462005,-0.05035759413032975,-0.05326246112779083,-0.04752346954123341,2000,48629,official EK100 validation video
ema_alpha_0.50_minus_native,mean_tfi,2.8551623488759215,1.5590068015381076,-1.296155547337814,-1.4696795071940356,-1.1275713922608939,2000,48629,official EK100 validation video
ema_alpha_0.50_minus_native,mean_predicted_switches,310.60869565217394,175.3695652173913,-135.23913043478262,-161.63224637681162,-110.47626811594202,2000,48629,official EK100 validation video
ema_alpha_0.50_minus_native,mean_transition_delay,10.064168527327444,10.446946898359382,0.3827783710319377,0.33988283311388234,0.4267994834645526,2000,48629,official EK100 validation video
ema_alpha_0.50_minus_native,missed_transition_rate,0.5948936996408116,0.6172216289680613,0.022327929327249696,0.018936803435849685,0.025737001272332555,2000,48629,official EK100 validation video
boxcar_w3_minus_native,accuracy,0.3815302485482487,0.37852934827816764,-0.0030009002700810417,-0.004306345789073018,-0.001757193673659319,2000,48629,official EK100 validation video
boxcar_w3_minus_native,global_ece,0.40427600957653026,0.36692386305230973,-0.03735214652422053,-0.039726567912096444,-0.034992434145768254,2000,48629,official EK100 validation video
boxcar_w3_minus_native,mean_tfi,2.8551623488759215,1.4057712925250185,-1.449391056350903,-1.6415617502656572,-1.2644344615420382,2000,48629,official EK100 validation video
boxcar_w3_minus_native,mean_predicted_switches,310.60869565217394,158.82608695652175,-151.7826086956522,-181.54438405797097,-124.44855072463768,2000,48629,official EK100 validation video
boxcar_w3_minus_native,mean_transition_delay,10.064168527327444,10.554897582758956,0.4907290554315118,0.4395420073581659,0.5441735146952181,2000,48629,official EK100 validation video
boxcar_w3_minus_native,missed_transition_rate,0.5948936996408116,0.6198427337151733,0.024949034074361665,0.02155076664242919,0.028381219471209928,2000,48629,official EK100 validation video
